Kingdom	Phylum	Class	Order	Family	Genus	Species	gtdb	kegg	PhaC_status
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_7	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	NA	NA	Unknown
Bacteria	WPS-2	WPS-2	WPS-2	WPS-2	WPS-2	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Sedimentibacteraceae	Sedimentibacter	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Acetoanaerobium	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Anaerovorax	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Acidaminobacteraceae	Acidaminobacter	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Romboutsia	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Proteocatella	NA	NA	NA	Unknown
Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	XBB1006	NA	NA	NA	Unknown
Bacteria	Proteobacteria	Alphaproteobacteria	Ferrovibrionales	Ferrovibrionales	Taonella	NA	NA	NA	Unknown
Bacteria	Cyanobacteria	Sericytochromatia	Sericytochromatia	Sericytochromatia	Sericytochromatia	NA	NA	NA	Unknown
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA	NA	NA	Unknown
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Genus_of_Acidaminococcaceae	NA	NA	NA	Unknown
Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA	NA	YES	YES
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Lactobacillales	Family of Lactobacillales	Genus_of_Lactobacillales	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	NA	NA	NA	Unknown
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA	NA	YES	YES
