Genus	PhaC
Arsenicicoccus	NO
Peptoclostridium	NO
Paraglaciecola	NO
Anderseniella	NO
Filimonas	NO
Formosa	NO
Tahibacter	YES
Erysipelotrichaceae_UCG-006	NO
Schizothrix_LEGE_07164	NO
Barnesiella	NO
Ponticoccus_sp._MM4	NO
Citreicella	NO
Hansschlegelia	NO
Anaerovibrio	NO
Agrococcus	NO
Dechlorosoma	NO
Lachnospiraceae_UCG-008	NO
Clostridium_sensu_stricto_15	NO
Anaerorhabdus_furcosa_group	NO
Achromobacter_xylosoxidans	NO
Chromobacterium	YES
Marinagarivorans	NO
Eubacterium_siraeum_group	NO
Granulicatella	NO
Epulopiscium	NO
Selenomonas	NO
Sulfurisoma	NO
Desulfatiglans	NO
Rubrimonas	NO
Mitsuokella	NO
Christensenella_sp._Marseille-P2437	NO
Family_XIII_UCG-001	NO
Wohlfahrtiimonas	NO
Larkinella	NO
Conchiformibius	NO
Succinivibrio	NO
Propionimicrobium	NO
Cohaesibacter	NO
Mf105b01	NO
Thiohalocapsa	YES
Povalibacter	NO
Ciceribacter	NO
Microvirga	YES
Dehalococcoides	NO
Thiococcus	NO
FFCH5858	NO
Micrococcus	NO
Protistobacter_heckmanni	NO
DEV008	NO
Pasteuria	NO
Sporolactobacillus	NO
Rhodopila	NO
Sporomusa	NO
Sphaerochaeta	NO
Williamwhitmania	NO
NS10_marine_group	NO
Fonticella	NO
Lachnospiraceae_UCG-001	NO
Duganella	YES
Rhodocyclus	NO
Desulfuromonas	NO
Fusobacterium	NO
Victivallis	NO
Vogesella	YES
Sellimonas	NO
Porticoccus	NO
LD29	NO
Rothia	NO
Croceicoccus	YES
Fructilactobacillus	NO
Endonucleariobacter	NO
Oxalicibacterium	NO
Microterricola	NO
Trueperella	NO
Methylovulum	NO
Pir2_lineage	NO
Zhizhongheella	NO
Diplosphaera	NO
Elstera	NO
EBM-39	NO
ADurb.Bin063-1	NO
Ampullimonas	NO
Balneola	NO
Brevifollis	NO
Dethiosulfovibrio	NO
Rhodomicrobium	YES
Cellulosimicrobium	NO
Phyllobacterium	YES
Marvinbryantia	NO
Muricauda	NO
Desulfatiferula_olefinivorans	NO
Gelidibacter	NO
Thiolamprovum	NO
UCG-003	NO
Tundrisphaera	NO
Acidomonas	NO
Chthoniobacter	NO
Hafnia-Obesumbacterium	NO
Daeguia	NO
Lachnospiraceae_FCS020_group	NO
Anaeromusa-Anaeroarcus	NO
Finniella	NO
